id,kepler_name,kepid,predicted_2022,class_2022,class_2025,probability,error
candidate_925,K00605.01,4832837,1.0,CANDIDATE,CONFIRMED,0.99999976,0
candidate_934,K03061.01,4857058,1.0,CANDIDATE,CONFIRMED,0.99995196,0
candidate_936,K06464.01,4862625,0.0,CANDIDATE,FALSE POSITIVE,5.688058e-07,0
candidate_937,K06464.02,4862625,0.0,CANDIDATE,FALSE POSITIVE,6.6075863e-06,0
candidate_946,K01665.01,4932442,1.0,CANDIDATE,CONFIRMED,0.99999964,0
candidate_958,K04524.01,5003670,0.0,CANDIDATE,CONFIRMED,0.45830676,1
candidate_966,K01573.01,5031857,1.0,CANDIDATE,CONFIRMED,0.9999976,0
candidate_972,K01843.01,5080636,1.0,CANDIDATE,CONFIRMED,0.9999989,0
candidate_992,K02563.01,5175024,1.0,CANDIDATE,CONFIRMED,0.9999821,0
candidate_994,K04246.01,5177859,0.0,CANDIDATE,CONFIRMED,8.611835e-06,1
candidate_999,K02719.01,5184911,1.0,CANDIDATE,CONFIRMED,0.9993305,0
candidate_1006,K02158.01,5211199,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1018,K01576.01,5299459,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1019,K01576.02,5299459,1.0,CANDIDATE,CONFIRMED,0.9999993,0
candidate_1023,K01562.01,5308663,0.0,CANDIDATE,FALSE POSITIVE,0.0,0
candidate_1054,K03504.01,5471158,0.0,CANDIDATE,FALSE POSITIVE,7.1413016e-22,0
candidate_1062,K01677.01,5526717,1.0,CANDIDATE,CONFIRMED,0.9995883,0
candidate_1065,K00647.01,5531694,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1068,K01681.02,5531953,0.0,CANDIDATE,CONFIRMED,1.3031286e-06,1
candidate_1072,K01590.02,5542466,1.0,CANDIDATE,CONFIRMED,0.9567872,0
candidate_1074,K02160.01,5546761,1.0,CANDIDATE,CONFIRMED,0.99999607,0
candidate_1084,K02369.01,5602588,1.0,CANDIDATE,CONFIRMED,0.99954414,0
candidate_1088,K00649.01,5613330,1.0,CANDIDATE,CONFIRMED,0.99999964,0
candidate_1096,K06132.02,5629353,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1106,K04097.01,5688683,1.0,CANDIDATE,CONFIRMED,0.6103867,0
candidate_1108,K00283.01,5695396,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1109,K00283.02,5695396,1.0,CANDIDATE,CONFIRMED,0.9999989,0
candidate_1115,K02183.01,5706595,1.0,CANDIDATE,CONFIRMED,0.9999994,0
candidate_1116,K02183.02,5706595,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1129,K00841.01,5792202,1.0,CANDIDATE,CONFIRMED,0.9998554,0
candidate_1130,K00841.02,5792202,1.0,CANDIDATE,CONFIRMED,0.9999982,0
candidate_1131,K00841.03,5792202,1.0,CANDIDATE,CONFIRMED,0.99982685,0
candidate_1138,K01839.01,5856571,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1147,K02744.01,5881813,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1151,K00126.01,5897826,0.0,CANDIDATE,FALSE POSITIVE,3.558637e-17,0
candidate_1158,K02250.01,5942808,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1159,K02250.02,5942808,0.0,CANDIDATE,CONFIRMED,4.3075084e-05,1
candidate_1165,K01053.01,5956656,1.0,CANDIDATE,CONFIRMED,0.999884,0
candidate_1170,K02321.01,5978559,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1181,K00304.01,6029239,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1194,K03500.01,6058816,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1197,K03004.01,6103377,1.0,CANDIDATE,CONFIRMED,0.99999034,0
candidate_1216,K02636.01,6198182,0.0,CANDIDATE,CONFIRMED,0.026924584,1
candidate_1222,K01750.01,6209677,1.0,CANDIDATE,CONFIRMED,0.9262647,0
candidate_1225,K06145.01,6221385,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1226,K06145.02,6221385,0.0,CANDIDATE,CONFIRMED,0.00018272712,1
candidate_1233,K01613.01,6268648,1.0,CANDIDATE,CONFIRMED,0.9999989,0
candidate_1242,K02050.01,6307083,0.0,CANDIDATE,FALSE POSITIVE,4.6356406e-29,0
candidate_1257,K01127.01,6359320,1.0,CANDIDATE,CONFIRMED,0.9983443,0
candidate_1258,K01127.02,6359320,1.0,CANDIDATE,CONFIRMED,0.9995925,0
candidate_1263,K03456.01,6364582,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1277,K02828.01,6436029,0.0,CANDIDATE,CONFIRMED,2.1047205e-18,1
candidate_1280,K06707.02,6436505,0.0,CANDIDATE,FALSE POSITIVE,0.1376038,0
candidate_1291,K00416.01,6508221,1.0,CANDIDATE,CONFIRMED,0.9999511,0
candidate_1292,K00416.02,6508221,1.0,CANDIDATE,CONFIRMED,0.9999132,0
candidate_1314,K01627.01,6543893,1.0,CANDIDATE,CONFIRMED,0.99999976,0
candidate_1315,K01627.02,6543893,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1336,K01236.01,6677841,1.0,CANDIDATE,CONFIRMED,0.9999678,0
candidate_1337,K01236.02,6677841,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1338,K01236.03,6677841,0.0,CANDIDATE,CONFIRMED,8.7314413e-07,1
candidate_1339,K01236.04,6677841,0.0,CANDIDATE,CONFIRMED,7.780185e-27,1
candidate_1343,K02851.01,6697605,0.0,CANDIDATE,CONFIRMED,1.2031524e-07,1
candidate_1347,K03374.01,6705026,0.0,CANDIDATE,CONFIRMED,0.0075985594,1
candidate_1352,K02906.01,6716545,1.0,CANDIDATE,CONFIRMED,0.9996001,0
candidate_1365,K02086.01,6768394,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1366,K02086.02,6768394,1.0,CANDIDATE,CONFIRMED,0.9999958,0
candidate_1367,K02086.03,6768394,1.0,CANDIDATE,CONFIRMED,0.99998915,0
candidate_1370,K06765.02,6768616,0.0,CANDIDATE,FALSE POSITIVE,0.28683737,0
candidate_1372,K02678.01,6779260,1.0,CANDIDATE,CONFIRMED,0.9996655,0
candidate_1390,K02439.01,6867555,1.0,CANDIDATE,CONFIRMED,0.9999975,0
candidate_1394,K02220.01,6871071,0.0,CANDIDATE,CONFIRMED,0.26517174,1
candidate_1395,K02220.02,6871071,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1396,K02220.03,6871071,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1409,K04382.01,6937529,0.0,CANDIDATE,CONFIRMED,1.0108324e-11,1
candidate_1412,K01359.01,6946199,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1422,K02756.01,6964929,0.0,CANDIDATE,CONFIRMED,0.0,1
candidate_1425,K01628.01,6975129,0.0,CANDIDATE,CONFIRMED,5.122319e-12,1
candidate_1426,K01628.02,6975129,1.0,CANDIDATE,CONFIRMED,0.82401204,0
candidate_1433,K00255.01,7021681,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1435,K00255.03,7021681,0.0,CANDIDATE,FALSE POSITIVE,3.3406337e-07,0
candidate_1438,K02339.01,7033233,1.0,CANDIDATE,CONFIRMED,0.999998,0
candidate_1440,K01899.01,7047922,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1447,K04032.01,7100673,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1448,K04032.02,7100673,1.0,CANDIDATE,CONFIRMED,0.99999976,0
candidate_1449,K04032.03,7100673,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1450,K04032.04,7100673,1.0,CANDIDATE,CONFIRMED,0.9888652,0
candidate_1453,K01360.01,7102227,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1454,K01360.02,7102227,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1455,K01360.03,7102227,0.0,CANDIDATE,CONFIRMED,0.0009525548,1
candidate_1460,K02420.01,7107802,1.0,CANDIDATE,CONFIRMED,0.99998605,0
candidate_1462,K00566.01,7119481,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1483,K00238.01,7219825,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1484,K00238.02,7219825,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1491,K03271.01,7285757,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1497,K02450.01,7289317,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1504,K01353.01,7303287,0.0,CANDIDATE,CONFIRMED,0.0,1
candidate_1505,K01353.02,7303287,0.0,CANDIDATE,CONFIRMED,1.1607674e-06,1
candidate_1506,K01353.03,7303287,0.0,CANDIDATE,CONFIRMED,0.0,1
candidate_1513,K00266.01,7375348,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1515,K01358.01,7376983,1.0,CANDIDATE,CONFIRMED,0.9999958,0
candidate_1516,K01358.02,7376983,1.0,CANDIDATE,CONFIRMED,0.99998343,0
candidate_1517,K01358.03,7376983,1.0,CANDIDATE,CONFIRMED,0.99999964,0
candidate_1518,K01358.04,7376983,1.0,CANDIDATE,CONFIRMED,0.99999857,0
candidate_1537,K01480.01,7512982,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1540,K03496.01,7517261,1.0,CANDIDATE,CONFIRMED,0.99524826,0
candidate_1550,K02924.01,7609553,0.0,CANDIDATE,CONFIRMED,0.0018440788,1
candidate_1555,K02103.01,7620413,1.0,CANDIDATE,CONFIRMED,0.99919146,0
candidate_1563,K01519.01,7663405,1.0,CANDIDATE,CONFIRMED,0.9999994,0
